sku,week,units,policy,target,shortage,excess,cost,filled
84992,2011-09-19,216.00000000,mean4,235.00000000,0.00000000,19.00000000,19.00000000,216.00000000
85099B,2011-09-19,1387.00000000,mean4,828.00000000,559.00000000,0.00000000,2236.00000000,828.00000000
85099C,2011-09-19,440.00000000,mean4,236.00000000,204.00000000,0.00000000,816.00000000,236.00000000
85099F,2011-09-19,509.00000000,mean4,408.00000000,101.00000000,0.00000000,404.00000000,408.00000000
85123A,2011-09-19,660.00000000,mean4,556.00000000,104.00000000,0.00000000,416.00000000,556.00000000
15036,2011-09-26,30.00000000,mean4,115.00000000,0.00000000,85.00000000,85.00000000,30.00000000
16014,2011-09-26,1.00000000,mean4,250.00000000,0.00000000,249.00000000,249.00000000,1.00000000
17003,2011-09-26,895.00000000,mean4,360.00000000,535.00000000,0.00000000,2140.00000000,360.00000000
20725,2011-09-26,228.00000000,mean4,251.00000000,0.00000000,23.00000000,23.00000000,228.00000000
20727,2011-09-26,205.00000000,mean4,257.00000000,0.00000000,52.00000000,52.00000000,205.00000000
21080,2011-09-26,151.00000000,mean4,175.00000000,0.00000000,24.00000000,24.00000000,151.00000000
21212,2011-09-26,311.00000000,mean4,525.00000000,0.00000000,214.00000000,214.00000000,311.00000000
21213,2011-09-26,194.00000000,mean4,522.00000000,0.00000000,328.00000000,328.00000000,194.00000000
21232,2011-09-26,214.00000000,mean4,176.00000000,38.00000000,0.00000000,152.00000000,176.00000000
21498,2011-09-26,275.00000000,mean4,157.00000000,118.00000000,0.00000000,472.00000000,157.00000000
21915,2011-09-26,192.00000000,mean4,360.00000000,0.00000000,168.00000000,168.00000000,192.00000000
21928,2011-09-26,349.00000000,mean4,184.00000000,165.00000000,0.00000000,660.00000000,184.00000000
21929,2011-09-26,112.00000000,mean4,202.00000000,0.00000000,90.00000000,90.00000000,112.00000000
21931,2011-09-26,260.00000000,mean4,297.00000000,0.00000000,37.00000000,37.00000000,260.00000000
21975,2011-09-26,136.00000000,mean4,387.00000000,0.00000000,251.00000000,251.00000000,136.00000000
21977,2011-09-26,189.00000000,mean4,442.00000000,0.00000000,253.00000000,253.00000000,189.00000000
21980,2011-09-26,73.00000000,mean4,108.00000000,0.00000000,35.00000000,35.00000000,73.00000000
21981,2011-09-26,44.00000000,mean4,73.00000000,0.00000000,29.00000000,29.00000000,44.00000000
21982,2011-09-26,35.00000000,mean4,92.00000000,0.00000000,57.00000000,57.00000000,35.00000000
21984,2011-09-26,78.00000000,mean4,67.00000000,11.00000000,0.00000000,44.00000000,67.00000000
21985,2011-09-26,111.00000000,mean4,226.00000000,0.00000000,115.00000000,115.00000000,111.00000000
22086,2011-09-26,347.00000000,mean4,438.00000000,0.00000000,91.00000000,91.00000000,347.00000000
22151,2011-09-26,110.00000000,mean4,258.00000000,0.00000000,148.00000000,148.00000000,110.00000000
22178,2011-09-26,84.00000000,mean4,343.00000000,0.00000000,259.00000000,259.00000000,84.00000000
22197,2011-09-26,1663.00000000,mean4,599.00000000,1064.00000000,0.00000000,4256.00000000,599.00000000
22355,2011-09-26,170.00000000,mean4,275.00000000,0.00000000,105.00000000,105.00000000,170.00000000
22386,2011-09-26,665.00000000,mean4,483.00000000,182.00000000,0.00000000,728.00000000,483.00000000
22411,2011-09-26,489.00000000,mean4,299.00000000,190.00000000,0.00000000,760.00000000,299.00000000
22423,2011-09-26,136.00000000,mean4,123.00000000,13.00000000,0.00000000,52.00000000,123.00000000
22469,2011-09-26,226.00000000,mean4,437.00000000,0.00000000,211.00000000,211.00000000,226.00000000
22492,2011-09-26,288.00000000,mean4,178.00000000,110.00000000,0.00000000,440.00000000,178.00000000
22616,2011-09-26,577.00000000,mean4,257.00000000,320.00000000,0.00000000,1280.00000000,257.00000000
71459,2011-09-26,276.00000000,mean4,267.00000000,9.00000000,0.00000000,36.00000000,267.00000000
72741,2011-09-26,129.00000000,mean4,124.00000000,5.00000000,0.00000000,20.00000000,124.00000000
84077,2011-09-26,768.00000000,mean4,520.00000000,248.00000000,0.00000000,992.00000000,520.00000000
84212,2011-09-26,24.00000000,mean4,132.00000000,0.00000000,108.00000000,108.00000000,24.00000000
84270,2011-09-26,0.00000000,mean4,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
84347,2011-09-26,40.00000000,mean4,176.00000000,0.00000000,136.00000000,136.00000000,40.00000000
84568,2011-09-26,9.00000000,mean4,409.00000000,0.00000000,400.00000000,400.00000000,9.00000000
84598,2011-09-26,12.00000000,mean4,24.00000000,0.00000000,12.00000000,12.00000000,12.00000000
84755,2011-09-26,48.00000000,mean4,294.00000000,0.00000000,246.00000000,246.00000000,48.00000000
84879,2011-09-26,791.00000000,mean4,491.00000000,300.00000000,0.00000000,1200.00000000,491.00000000
84946,2011-09-26,378.00000000,mean4,256.00000000,122.00000000,0.00000000,488.00000000,256.00000000
84970S,2011-09-26,202.00000000,mean4,95.00000000,107.00000000,0.00000000,428.00000000,95.00000000
84991,2011-09-26,220.00000000,mean4,426.00000000,0.00000000,206.00000000,206.00000000,220.00000000
84992,2011-09-26,110.00000000,mean4,282.00000000,0.00000000,172.00000000,172.00000000,110.00000000
85099B,2011-09-26,889.00000000,mean4,836.00000000,53.00000000,0.00000000,212.00000000,836.00000000
85099C,2011-09-26,398.00000000,mean4,313.00000000,85.00000000,0.00000000,340.00000000,313.00000000
85099F,2011-09-26,204.00000000,mean4,320.00000000,0.00000000,116.00000000,116.00000000,204.00000000
85123A,2011-09-26,404.00000000,mean4,530.00000000,0.00000000,126.00000000,126.00000000,404.00000000
15036,2011-10-03,721.00000000,mean4,83.00000000,638.00000000,0.00000000,2552.00000000,83.00000000
16014,2011-10-03,0.00000000,mean4,251.00000000,0.00000000,251.00000000,251.00000000,0.00000000
17003,2011-10-03,376.00000000,mean4,511.00000000,0.00000000,135.00000000,135.00000000,376.00000000
20725,2011-10-03,278.00000000,mean4,261.00000000,17.00000000,0.00000000,68.00000000,261.00000000
20727,2011-10-03,208.00000000,mean4,262.00000000,0.00000000,54.00000000,54.00000000,208.00000000
21080,2011-10-03,92.00000000,mean4,179.00000000,0.00000000,87.00000000,87.00000000,92.00000000
21212,2011-10-03,405.00000000,mean4,500.00000000,0.00000000,95.00000000,95.00000000,405.00000000
21213,2011-10-03,202.00000000,mean4,522.00000000,0.00000000,320.00000000,320.00000000,202.00000000
21232,2011-10-03,67.00000000,mean4,211.00000000,0.00000000,144.00000000,144.00000000,67.00000000
21498,2011-10-03,125.00000000,mean4,213.00000000,0.00000000,88.00000000,88.00000000,125.00000000
21915,2011-10-03,1771.00000000,mean4,186.00000000,1585.00000000,0.00000000,6340.00000000,186.00000000
21928,2011-10-03,156.00000000,mean4,225.00000000,0.00000000,69.00000000,69.00000000,156.00000000
21929,2011-10-03,461.00000000,mean4,179.00000000,282.00000000,0.00000000,1128.00000000,179.00000000
21931,2011-10-03,444.00000000,mean4,286.00000000,158.00000000,0.00000000,632.00000000,286.00000000
21975,2011-10-03,107.00000000,mean4,407.00000000,0.00000000,300.00000000,300.00000000,107.00000000
21977,2011-10-03,829.00000000,mean4,439.00000000,390.00000000,0.00000000,1560.00000000,439.00000000
21980,2011-10-03,528.00000000,mean4,111.00000000,417.00000000,0.00000000,1668.00000000,111.00000000
21981,2011-10-03,5.00000000,mean4,77.00000000,0.00000000,72.00000000,72.00000000,5.00000000
21982,2011-10-03,8.00000000,mean4,94.00000000,0.00000000,86.00000000,86.00000000,8.00000000
21984,2011-10-03,76.00000000,mean4,76.00000000,0.00000000,0.00000000,0.00000000,76.00000000
21985,2011-10-03,182.00000000,mean4,232.00000000,0.00000000,50.00000000,50.00000000,182.00000000
22086,2011-10-03,953.00000000,mean4,477.00000000,476.00000000,0.00000000,1904.00000000,477.00000000
22151,2011-10-03,54.00000000,mean4,259.00000000,0.00000000,205.00000000,205.00000000,54.00000000
22178,2011-10-03,1459.00000000,mean4,241.00000000,1218.00000000,0.00000000,4872.00000000,241.00000000
22197,2011-10-03,799.00000000,mean4,779.00000000,20.00000000,0.00000000,80.00000000,779.00000000
22355,2011-10-03,354.00000000,mean4,255.00000000,99.00000000,0.00000000,396.00000000,255.00000000
22386,2011-10-03,1539.00000000,mean4,590.00000000,949.00000000,0.00000000,3796.00000000,590.00000000
22411,2011-10-03,183.00000000,mean4,383.00000000,0.00000000,200.00000000,200.00000000,183.00000000
22423,2011-10-03,297.00000000,mean4,135.00000000,162.00000000,0.00000000,648.00000000,135.00000000
22469,2011-10-03,254.00000000,mean4,461.00000000,0.00000000,207.00000000,207.00000000,254.00000000
22492,2011-10-03,724.00000000,mean4,222.00000000,502.00000000,0.00000000,2008.00000000,222.00000000
22616,2011-10-03,465.00000000,mean4,280.00000000,185.00000000,0.00000000,740.00000000,280.00000000
71459,2011-10-03,168.00000000,mean4,311.00000000,0.00000000,143.00000000,143.00000000,168.00000000
72741,2011-10-03,99.00000000,mean4,138.00000000,0.00000000,39.00000000,39.00000000,99.00000000
84077,2011-10-03,893.00000000,mean4,651.00000000,242.00000000,0.00000000,968.00000000,651.00000000
84212,2011-10-03,480.00000000,mean4,138.00000000,342.00000000,0.00000000,1368.00000000,138.00000000
84270,2011-10-03,0.00000000,mean4,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
84347,2011-10-03,178.00000000,mean4,185.00000000,0.00000000,7.00000000,7.00000000,178.00000000
84568,2011-10-03,0.00000000,mean4,28.00000000,0.00000000,28.00000000,28.00000000,0.00000000
84598,2011-10-03,20.00000000,mean4,17.00000000,3.00000000,0.00000000,12.00000000,17.00000000
84755,2011-10-03,288.00000000,mean4,238.00000000,50.00000000,0.00000000,200.00000000,238.00000000
84879,2011-10-03,573.00000000,mean4,638.00000000,0.00000000,65.00000000,65.00000000,573.00000000
84946,2011-10-03,342.00000000,mean4,305.00000000,37.00000000,0.00000000,148.00000000,305.00000000
84970S,2011-10-03,40.00000000,mean4,116.00000000,0.00000000,76.00000000,76.00000000,40.00000000
84991,2011-10-03,157.00000000,mean4,452.00000000,0.00000000,295.00000000,295.00000000,157.00000000
84992,2011-10-03,161.00000000,mean4,267.00000000,0.00000000,106.00000000,106.00000000,161.00000000
85099B,2011-10-03,2636.00000000,mean4,889.00000000,1747.00000000,0.00000000,6988.00000000,889.00000000
85099C,2011-10-03,276.00000000,mean4,347.00000000,0.00000000,71.00000000,71.00000000,276.00000000
85099F,2011-10-03,1172.00000000,mean4,301.00000000,871.00000000,0.00000000,3484.00000000,301.00000000
85123A,2011-10-03,156.00000000,mean4,532.00000000,0.00000000,376.00000000,376.00000000,156.00000000
15036,2011-10-10,224.00000000,mean4,224.00000000,0.00000000,0.00000000,0.00000000,224.00000000
16014,2011-10-10,20.00000000,mean4,1.00000000,19.00000000,0.00000000,76.00000000,1.00000000
17003,2011-10-10,72.00000000,mean4,560.00000000,0.00000000,488.00000000,488.00000000,72.00000000
20725,2011-10-10,373.00000000,mean4,254.00000000,119.00000000,0.00000000,476.00000000,254.00000000
20727,2011-10-10,336.00000000,mean4,257.00000000,79.00000000,0.00000000,316.00000000,257.00000000
21080,2011-10-10,47.00000000,mean4,156.00000000,0.00000000,109.00000000,109.00000000,47.00000000
21212,2011-10-10,163.00000000,mean4,513.00000000,0.00000000,350.00000000,350.00000000,163.00000000
21213,2011-10-10,125.00000000,mean4,378.00000000,0.00000000,253.00000000,253.00000000,125.00000000
21232,2011-10-10,370.00000000,mean4,156.00000000,214.00000000,0.00000000,856.00000000,156.00000000
21498,2011-10-10,150.00000000,mean4,175.00000000,0.00000000,25.00000000,25.00000000,150.00000000
21915,2011-10-10,180.00000000,mean4,596.00000000,0.00000000,416.00000000,416.00000000,180.00000000
21928,2011-10-10,79.00000000,mean4,232.00000000,0.00000000,153.00000000,153.00000000,79.00000000
21929,2011-10-10,71.00000000,mean4,258.00000000,0.00000000,187.00000000,187.00000000,71.00000000
21931,2011-10-10,243.00000000,mean4,328.00000000,0.00000000,85.00000000,85.00000000,243.00000000
21975,2011-10-10,19.00000000,mean4,338.00000000,0.00000000,319.00000000,319.00000000,19.00000000
21977,2011-10-10,150.00000000,mean4,516.00000000,0.00000000,366.00000000,366.00000000,150.00000000
21980,2011-10-10,60.00000000,mean4,189.00000000,0.00000000,129.00000000,129.00000000,60.00000000
21981,2011-10-10,16.00000000,mean4,44.00000000,0.00000000,28.00000000,28.00000000,16.00000000
21982,2011-10-10,112.00000000,mean4,50.00000000,62.00000000,0.00000000,248.00000000,50.00000000
21984,2011-10-10,85.00000000,mean4,77.00000000,8.00000000,0.00000000,32.00000000,77.00000000
21985,2011-10-10,114.00000000,mean4,253.00000000,0.00000000,139.00000000,139.00000000,114.00000000
22086,2011-10-10,816.00000000,mean4,591.00000000,225.00000000,0.00000000,900.00000000,591.00000000
22151,2011-10-10,77.00000000,mean4,129.00000000,0.00000000,52.00000000,52.00000000,77.00000000
22178,2011-10-10,297.00000000,mean4,551.00000000,0.00000000,254.00000000,254.00000000,297.00000000
22197,2011-10-10,748.00000000,mean4,893.00000000,0.00000000,145.00000000,145.00000000,748.00000000
22355,2011-10-10,230.00000000,mean4,286.00000000,0.00000000,56.00000000,56.00000000,230.00000000
22386,2011-10-10,397.00000000,mean4,821.00000000,0.00000000,424.00000000,424.00000000,397.00000000
